GKE Single service


100 users 50% HPA

kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 65%/70%    1         10        3          97m
frontend-hpa   Deployment/frontend   cpu: 64%/70%    1         10        3          98m
frontend-hpa   Deployment/frontend   cpu: 62%/70%    1         10        3          99m
frontend-hpa   Deployment/frontend   cpu: 65%/70%    1         10        3          100m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          102m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          103m
frontend-hpa   Deployment/frontend   cpu: 63%/70%    1         10        3          104m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          105m
frontend-hpa   Deployment/frontend   cpu: 64%/70%    1         10        3          108m
frontend-hpa   Deployment/frontend   cpu: 64%/70%    1         10        3          109m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          111m
frontend-hpa   Deployment/frontend   cpu: 64%/70%    1         10        3          112m
frontend-hpa   Deployment/frontend   cpu: 42%/70%    1         10        3          113m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        3          114m
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        3          115m
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        3          116m
frontend-hpa   Deployment/frontend   cpu: 9%/70%     1         10        3          117m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        3          118m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        3          118m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        2          119m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        1          119m
frontend-hpa   Deployment/frontend   cpu: 0%/70%     1         10        1          119m
frontend-hpa   Deployment/frontend   cpu: 15%/70%    1         10        1          120m


300 users 70% HPA

kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 22%/70%   1         10        1          133m
frontend-hpa   Deployment/frontend   cpu: 191%/70%   1         10        1          134m
frontend-hpa   Deployment/frontend   cpu: 191%/70%   1         10        3          134m
frontend-hpa   Deployment/frontend   cpu: 68%/70%    1         10        3          135m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          136m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          138m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          139m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          140m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          142m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          143m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          147m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          148m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          149m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          151m
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        3          154m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        3          155m
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        3          156m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        3          157m
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        3          158m
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        3          159m
