Single Service

100 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 4%/70%    1         10        4          154m
frontend-hpa   Deployment/frontend   cpu: 5%/70%    1         10        4          155m
frontend-hpa   Deployment/frontend   cpu: 4%/70%    1         10        4          156m
frontend-hpa   Deployment/frontend   cpu: 7%/70%    1         10        2          157m
frontend-hpa   Deployment/frontend   cpu: 7%/70%    1         10        2          158m
frontend-hpa   Deployment/frontend   cpu: 15%/70%   1         10        1          159m
frontend-hpa   Deployment/frontend   cpu: 14%/70%   1         10        1          160m
frontend-hpa   Deployment/frontend   cpu: 16%/70%   1         10        1          161m


300 users 70% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 14%/70%   1         10        1          5h12m
frontend-hpa   Deployment/frontend   cpu: 186%/70%  1         10        1          5h13m
frontend-hpa   Deployment/frontend   cpu: 186%/70%  1         10        3          5h13m
frontend-hpa   Deployment/frontend   cpu: 198%/70%  1         10        3          5h14m
frontend-hpa   Deployment/frontend   cpu: 79%/70%   1         10        3          5h15m
frontend-hpa   Deployment/frontend   cpu: 79%/70%   1         10        4          5h15m
frontend-hpa   Deployment/frontend   cpu: 81%/70%   1         10        4          5h16m
frontend-hpa   Deployment/frontend   cpu: 67%/70%   1         10        4          5h17m
frontend-hpa   Deployment/frontend   cpu: 5%/70%    1         10        4          5h31m
frontend-hpa   Deployment/frontend   cpu: 44%/70%   1         10        4          5h32m
frontend-hpa   Deployment/frontend   cpu: 4%/70%    1         10        4          5h33m
frontend-hpa   Deployment/frontend   cpu: 4%/70%    1         10        4          5h36m
frontend-hpa   Deployment/frontend   cpu: 5%/70%    1         10        3          5h36m
frontend-hpa   Deployment/frontend   cpu: 5%/70%    1         10        3          5h38m
frontend-hpa   Deployment/frontend   cpu: 17%/70%   1         10        1          5h38m
frontend-hpa   Deployment/frontend   cpu: 15%/70%   1         10        1          5h39m


500 users 70% HPA

PS C:\Windows\system32> kubectl get hpa --watch
