Multiservices
100 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
recommendation-hpa   Deployment/recommendationservice   cpu: 9%/50%     1         10        1          32m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          33m
frontend-hpa         Deployment/frontend                cpu: 14%/50%    1         10        1          33m
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/50%     1         10        1          33m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          34m




300 User 50% HPA 
PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 3%/50%    1         10        1          41m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%    1         10        1          41m
frontend-hpa         Deployment/frontend                cpu: 13%/50%   1         10        1          41m
recommendation-hpa   Deployment/recommendationservice   cpu: 7%/50%    1         10        1          41m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%    1         10        1          41m
cart-hpa             Deployment/cartservice             cpu: 10%/50%   1         10        1          41m
frontend-hpa         Deployment/frontend                cpu: 74%/50%   1         10        1          41m
recommendation-hpa   Deployment/recommendationservice   cpu: 48%/50%   1         10        1          41m
frontend-hpa         Deployment/frontend                cpu: 74%/50%   1         10        2          41m
cart-hpa             Deployment/cartservice             cpu: 23%/50%   1         10        1          42m
frontend-hpa         Deployment/frontend                cpu: 194%/50%   1         10        2          42m
recommendation-hpa   Deployment/recommendationservice   cpu: 148%/50%   1         10        1          42m
frontend-hpa         Deployment/frontend                cpu: 194%/50%   1         10        4          42m
recommendation-hpa   Deployment/recommendationservice   cpu: 148%/50%   1         10        3          42m
cart-hpa             Deployment/cartservice             cpu: 26%/50%    1         10        1          43m
frontend-hpa         Deployment/frontend                cpu: 100%/50%   1         10        4          43m
recommendation-hpa   Deployment/recommendationservice   cpu: 160%/50%   1         10        3          43m
cart-hpa             Deployment/cartservice             cpu: 25%/50%    1         10        1          44m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          44m
recommendation-hpa   Deployment/recommendationservice   cpu: 55%/50%    1         10        3          44m
recommendation-hpa   Deployment/recommendationservice   cpu: 54%/50%    1         10        3          45m
cart-hpa             Deployment/cartservice             cpu: 18%/50%    1         10        1          46m
frontend-hpa         Deployment/frontend                cpu: 48%/50%    1         10        4          46m
recommendation-hpa   Deployment/recommendationservice   cpu: 50%/50%    1         10        3          46m
cart-hpa             Deployment/cartservice             cpu: 21%/50%    1         10        1          47m
recommendation-hpa   Deployment/recommendationservice   cpu: 49%/50%    1         10        3          47m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          48m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          48m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          48m
recommendation-hpa   Deployment/recommendationservice   cpu: 54%/50%    1         10        3          48m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          49m
cart-hpa             Deployment/cartservice             cpu: 29%/50%    1         10        1          49m
recommendation-hpa   Deployment/recommendationservice   cpu: 56%/50%    1         10        3          49m
recommendation-hpa   Deployment/recommendationservice   cpu: 56%/50%    1         10        4          49m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          50m
recommendation-hpa   Deployment/recommendationservice   cpu: 57%/50%    1         10        4          50m
cart-hpa             Deployment/cartservice             cpu: 26%/50%    1         10        1          51m
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        4          51m
cart-hpa             Deployment/cartservice             cpu: 28%/50%    1         10        1          52m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          52m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        4          52m
cart-hpa             Deployment/cartservice             cpu: 24%/50%    1         10        1          53m
cart-hpa             Deployment/cartservice             cpu: 26%/50%    1         10        1          54m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          54m
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        4          54m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          55m
cart-hpa             Deployment/cartservice             cpu: 24%/50%    1         10        1          55m
recommendation-hpa   Deployment/recommendationservice   cpu: 43%/50%    1         10        4          55m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          56m
cart-hpa             Deployment/cartservice             cpu: 18%/50%    1         10        1          56m
frontend-hpa         Deployment/frontend                cpu: 34%/50%    1         10        4          56m
recommendation-hpa   Deployment/recommendationservice   cpu: 29%/50%    1         10        4          56m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          57m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          57m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        4          57m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          59m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          59m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          59m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          60m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          60m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          60m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          61m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        4          61m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          61m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          61m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        3          61m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        3          61m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        3          62m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        3          62m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          62m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          62m
frontend-hpa         Deployment/frontend                cpu: 13%/50%    1         10        1          62m
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/50%     1         10        1          62m



500 User 50% HPA 
PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 10%/50%   1         10        1          67m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%    1         10        1          67m
frontend-hpa         Deployment/frontend                cpu: 25%/50%   1         10        1          67m
recommendation-hpa   Deployment/recommendationservice   cpu: 12%/50%   1         10        1          67m
cart-hpa             Deployment/cartservice             cpu: 25%/50%   1         10        1          68m
frontend-hpa         Deployment/frontend                cpu: 189%/50%   1         10        1          68m
recommendation-hpa   Deployment/recommendationservice   cpu: 114%/50%   1         10        1          68m
frontend-hpa         Deployment/frontend                cpu: 189%/50%   1         10        4          68m
recommendation-hpa   Deployment/recommendationservice   cpu: 114%/50%   1         10        3          68m
cart-hpa             Deployment/cartservice             cpu: 26%/50%    1         10        1          69m
frontend-hpa         Deployment/frontend                cpu: 199%/50%   1         10        4          69m
recommendation-hpa   Deployment/recommendationservice   cpu: 162%/50%   1         10        3          69m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          70m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          70m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          70m
recommendation-hpa   Deployment/recommendationservice   cpu: 54%/50%    1         10        3          70m
cart-hpa             Deployment/cartservice             cpu: 30%/50%    1         10        1          71m
recommendation-hpa   Deployment/recommendationservice   cpu: 57%/50%    1         10        3          71m
recommendation-hpa   Deployment/recommendationservice   cpu: 57%/50%    1         10        4          71m
cart-hpa             Deployment/cartservice             cpu: 24%/50%    1         10        1          72m
