GKE multi-services

100 users 50% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
recommendation-hpa   Deployment/recommendationservice   cpu: 10%/50%    1         10        1          121m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        1          121m
frontend-hpa         Deployment/frontend                cpu: 0%/50%     1         10        1          121m
cart-hpa             Deployment/cartservice             cpu: 1%/50%     1         10        1          122m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        1          122m


300 users 50% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 3%/50%    1         10        1          30s
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%    1         10        1          30s
frontend-hpa         Deployment/frontend                cpu: 20%/50%   1         10        1          31s
recommendation-hpa   Deployment/recommendationservice   cpu: 10%/50%   1         10        1          29s
frontend-hpa         Deployment/frontend                cpu: 144%/50%   1         10        1          69s
frontend-hpa         Deployment/frontend                cpu: 144%/50%   1         10        3          75s
recommendation-hpa   Deployment/recommendationservice   cpu: 143%/50%   1         10        1          82s
frontend-hpa         Deployment/frontend                cpu: 199%/50%   1         10        3          85s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          84s
frontend-hpa         Deployment/frontend                cpu: 199%/50%   1         10        4          90s
cart-hpa             Deployment/cartservice             cpu: 26%/50%    1         10        1          90s
recommendation-hpa   Deployment/recommendationservice   cpu: 143%/50%   1         10        3          90s
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          2m31s
recommendation-hpa   Deployment/recommendationservice   cpu: 48%/50%    1         10        3          2m29s
cart-hpa             Deployment/cartservice             cpu: 16%/50%    1         10        1          2m45s
recommendation-hpa   Deployment/recommendationservice   cpu: 45%/50%    1         10        3          3m29s
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          3m31s
cart-hpa             Deployment/cartservice             cpu: 22%/50%    1         10        1          4m
recommendation-hpa   Deployment/recommendationservice   cpu: 43%/50%    1         10        3          4m37s
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          4m53s
cart-hpa             Deployment/cartservice             cpu: 20%/50%    1         10        1          5m6s
recommendation-hpa   Deployment/recommendationservice   cpu: 46%/50%    1         10        3          5m37s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          6m6s
cart-hpa             Deployment/cartservice             cpu: 18%/50%    1         10        1          6m15s
recommendation-hpa   Deployment/recommendationservice   cpu: 44%/50%    1         10        3          6m44s
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          7m8s
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          7m54s
recommendation-hpa   Deployment/recommendationservice   cpu: 45%/50%    1         10        3          7m52s
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          8m23s
cart-hpa             Deployment/cartservice             cpu: 19%/50%    1         10        1          8m45s
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          9m1s
recommendation-hpa   Deployment/recommendationservice   cpu: 49%/50%    1         10        3          8m59s
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          9m24s
cart-hpa             Deployment/cartservice             cpu: 21%/50%    1         10        1          10m
recommendation-hpa   Deployment/recommendationservice   cpu: 46%/50%    1         10        3          9m59s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          10m
cart-hpa             Deployment/cartservice             cpu: 22%/50%    1         10        1          11m
recommendation-hpa   Deployment/recommendationservice   cpu: 44%/50%    1         10        3          11m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          11m
cart-hpa             Deployment/cartservice             cpu: 20%/50%    1         10        1          12m
recommendation-hpa   Deployment/recommendationservice   cpu: 43%/50%    1         10        3          12m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          12m
recommendation-hpa   Deployment/recommendationservice   cpu: 47%/50%    1         10        3          13m
cart-hpa             Deployment/cartservice             cpu: 19%/50%    1         10        1          13m
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          14m
recommendation-hpa   Deployment/recommendationservice   cpu: 46%/50%    1         10        3          14m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          14m
cart-hpa             Deployment/cartservice             cpu: 16%/50%    1         10        1          14m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          15m
recommendation-hpa   Deployment/recommendationservice   cpu: 45%/50%    1         10        3          15m
cart-hpa             Deployment/cartservice             cpu: 22%/50%    1         10        1          15m
recommendation-hpa   Deployment/recommendationservice   cpu: 26%/50%    1         10        3          16m
frontend-hpa         Deployment/frontend                cpu: 17%/50%    1         10        4          16m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        3          16m
frontend-hpa         Deployment/frontend                cpu: 6%/50%     1         10        4          16m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          16m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          17m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          17m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          17m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          18m
frontend-hpa         Deployment/frontend                cpu: 7%/50%     1         10        4          18m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          19m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          19m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          19m
frontend-hpa         Deployment/frontend                cpu: 6%/50%     1         10        4          20m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          20m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          20m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          20m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        3          21m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          21m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        2          21m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        2          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 5%/50%     1         10        1          21m
recommendation-hpa   Deployment/recommendationservice   cpu: 9%/50%     1         10        1          21m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        1          21m
checkout-hpa         Deployment/checkoutservice         cpu: 3%/50%     1         10        1          21m
frontend-hpa         Deployment/frontend                cpu: 16%/50%    1         10        1          22m
cart-hpa             Deployment/cartservice             cpu: 4%/50%     1         10        1          22m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          23m
frontend-hpa         Deployment/frontend                cpu: 19%/50%    1         10        1          23m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          23m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          24m
recommendation-hpa   Deployment/recommendationservice   cpu: 11%/50%    1         10        1          24m
frontend-hpa         Deployment/frontend                cpu: 16%/50%    1         10        1          24m


500 users 50% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 3%/50%    1         10        1          26s
